stopword
; GERMAN STOPWORDS
; Zusammmengetragen von Marco Goetze
; LAST UPDATE 15. Jan 2011
; Besucht doch mal: www.solariz.de
; Quell Link: http://solariz.de/649/deutsche-stopwords.htm
ab
bei
da
deshalb
ein
fuer
haben
hier
ich
ja
kann
machen
muesste
nach
oder
seid
sonst
und
vom
wann
wenn
wie
zu
bin
eines
hat
manche
solches
an
anderm
bis
das
deinem
demselben
dir
doch
einig
er
eurer
hatte
ihnen
ihre
ins
jenen
keinen
manchem
meinen
nichts
seine
soll
unserm
welche
werden
wollte
waehrend
alle
allem
allen
aller
alles
als
also
am
ander
andere
anderem
anderen
anderer
anderes
andern
anders
auch
auf
aus
bist
bsp.
daher
damit
dann
dasselbe
dazu
dass
dein
deine
deinen
deiner
deines
dem
den
denn
denselben
der
derer
derselbe
derselben
des
desselben
dessen
dich
die
dies
diese
dieselbe
dieselben
diesem
diesen
dieser
dieses
dort
du
durch
eine
einem
einen
einer
einige
einigem
einigen
einiger
einiges
einmal
es
etwas
euch
euer
eure
eurem
euren
eures
ganz
ganze
ganzen
ganzer
ganzes
gegen
gemacht
gesagt
gesehen
gewesen
gewollt
hab
habe
hatten
hin
hinter
ihm
ihn
ihr
ihrem
ihren
ihrer
ihres
im
in
indem
ist
jede
jedem
jeden
jeder
jedes
jene
jenem
jener
jenes
jetzt
kein
keine
keinem
keiner
keines
konnte
koennen
koennte
mache
machst
macht
machte
machten
man
manchen
mancher
manches
mein
meine
meinem
meiner
meines
mich
mir
mit
muss
musste
muesst
nicht
noch
nun
nur
ob
ohne
sage
sagen
sagt
sagte
sagten
sagtest
sehe
sehen
sehr
seht
sein
seinem
seinen
seiner
seines
selbst
sich
sicher
sie
sind
so
solche
solchem
solchen
solcher
sollte
sondern
um
uns
unse
unsen
unser
unses
unter
viel
von
vor
war
waren
warst
was
weg
weil
weiter
welchem
welchen
welcher
welches
werde
wieder
will
wir
wird
wirst
wo
wolle
wollen
wollt
wollten
wolltest
wolltet
wuerde
wuerden
z.B.
zum
zur
zwar
zwischen
ueber
aber
abgerufen
abgerufene
abgerufener
abgerufenes
acht
allein
allerdings
allerlei
allgemein
allmaehlich
allzu
alsbald
andererseits
andernfalls
anerkannt
anerkannte
anerkannter
anerkanntes
anfangen
anfing
angefangen
angesetze
angesetzt
angesetzten
angesetzter
ansetzen
anstatt
arbeiten
aufgehoert
aufgrund
aufhoeren
aufhoerte
aufzusuchen
ausdruecken
ausdrueckt
ausdrueckte
ausgenommen
ausser
ausserdem
author
autor
aussen
ausser
ausserdem
ausserhalb
bald
bearbeite
bearbeiten
bearbeitete
bearbeiteten
bedarf
bedurfte
beduerfen
befragen
befragte
befragten
befragter
begann
beginnen
begonnen
behalten
behielt
beide
beiden
beiderlei
beides
beim
beinahe
beitragen
beitrugen
bekannt
bekannte
bekannter
bekennen
benutzt
bereits
berichten
berichtet
berichtete
berichteten
besonders
besser
bestehen
besteht
betraechtlich
bevor
bezueglich
bietet
bisher
bislang
bis
bleiben
blieb
bloss
bloss
brachte
brachten
brauchen
braucht
bringen
braeuchte
bzw
boeden
ca.
dabei
dadurch
dafuer
dagegen
dahin
damals
danach
daneben
dank
danke
danken
dannen
daran
darauf
daraus
darf
darfst
darin
darum
darunter
darueber
darueberhinaus
dass
davon
davor
demnach
denen
dennoch
derart
derartig
derem
deren
derjenige
derjenigen
derzeit
desto
deswegen
diejenige
diesseits
dinge
direkt
direkte
direkten
direkter
doppelt
dorther
dorthin
drauf
drei
dreissig
drin
dritte
drunter
drueber
dunklen
durchaus
durfte
durften
duerfen
duerfte
eben
ebenfalls
ebenso
ehe
eher
eigenen
eigenes
eigentlich
einbauen
einerseits
einfach
einfuehren
einfuehrte
einfuehrten
eingesetzt
einigermassen
eins
einseitig
einseitige
einseitigen
einseitiger
einst
einstmals
einzig
ende
entsprechend
entweder
ergaenze
ergaenzen
ergaenzte
ergaenzten
erhalten
erhielt
erhielten
erhaelt
erneut
erst
erste
ersten
erster
eroeffne
eroeffnen
eroeffnet
eroeffnete
eroeffnetes
etc
etliche
etwa
fall
falls
fand
fast
ferner
finden
findest
findet
folgende
folgenden
folgender
folgendes
folglich
fordern
fordert
forderte
forderten
fortsetzen
fortsetzt
fortsetzte
fortsetzten
fragte
frau
frei
freie
freier
freies
fuer
fuenf
gab
ganzem
gar
gbr
geb
geben
geblieben
gebracht
gedurft
geehrt
geehrte
geehrten
geehrter
gefallen
gefiel
gefaelligst
gefaellt
gegeben
gehabt
gehen
geht
gekommen
gekonnt
gemocht
gemaess
genommen
genug
gern
gestern
gestrige
getan
geteilt
geteilte
getragen
gewissermassen
geworden
ggf
gib
gibt
gleich
gleichwohl
gleichzeitig
gluecklicherweise
gmbh
gratulieren
gratuliert
gratulierte
gute
guten
gaengig
gaengige
gaengigen
gaengiger
gaengiges
gaenzlich
haette
halb
hallo
hast
hattest
hattet
heraus
herein
heute
heutige
hiermit
hiesige
hinein
hinten
hinterher
hoch
hundert
haett
haette
haetten
hoechstens
igitt
immer
immerhin
important
indessen
info
infolge
innen
innerhalb
insofern
inzwischen
irgend
irgendeine
irgendwas
irgendwen
irgendwer
irgendwie
irgendwo
je
jedenfalls
jederlei
jedoch
jemand
jenseits
jaehrig
jaehrige
jaehrigen
jaehriges
kam
kannst
kaum
keines
keinerlei
keineswegs
klar
klare
klaren
klares
klein
kleinen
kleiner
kleines
koennen
koennt
koennte
koennten
komme
kommen
kommt
konkret
konkrete
konkreten
konkreter
konkretes
konnten
koenn
koennt
koennten
kuenftig
lag
lagen
langsam
lassen
laut
lediglich
leer
legen
legte
legten
leicht
leider
lesen
letze
letzten
letztendlich
letztens
letztes
letztlich
lichten
liegt
liest
links
laengst
laengstens
mag
magst
mal
mancherorts
manchmal
mann
margin
mehr
mehrere
meist
meiste
meisten
meta
mindestens
mithin
mochte
morgen
morgige
muessen
muesst
musst
mussten
muss
musst
moechte
moechten
moechtest
moegen
moeglich
moegliche
moeglichen
moeglicher
moeglicherweise
muessen
muesste
muessten
muesste
nachdem
nacher
